,IPSA
2022-04-21,1065.2564182947274
2022-04-22,1055.1279179455844
2022-04-25,1023.0721359254977
2022-04-26,1009.4110620466246
2022-04-27,1026.668531476869
2022-04-28,1030.5837821161608
2022-04-29,1022.82600748103
2022-05-02,1015.8491085184196
2022-05-03,1022.5348320117787
2022-05-04,1047.6662578882651
2022-05-05,1042.240339996346
2022-05-06,1035.7854726998955
2022-05-09,1008.9890725189134
2022-05-10,999.9420395518011
2022-05-11,994.6884903782574
2022-05-12,1003.1631946333471
2022-05-13,1037.74482704189
2022-05-16,1040.7339616018955
2022-05-17,1075.7916126582877
2022-05-18,1063.4233164221528
2022-05-19,1069.214479544757
2022-05-20,1068.5060541549883
2022-05-23,1097.1771557659533
2022-05-24,1098.8876564128093
2022-05-25,1108.030698464694
2022-05-26,1129.2338414015585
2022-05-27,1157.5158629270136
2022-05-30,1157.5915200215632
2022-05-31,1143.403252276871
2022-06-01,1128.4579333235079
2022-06-02,1142.1953014515343
2022-06-03,1142.3330211911134
2022-06-06,1131.09833534134
2022-06-07,1134.143133027969
2022-06-08,1113.986178144436
2022-06-09,1093.874902189308
2022-06-10,1098.2665947309529
2022-06-13,1075.7087743964285
2022-06-14,1075.4786677629497
2022-06-15,1076.7500250348949
2022-06-16,1050.0310689815324
2022-06-17,1058.1398543711255
2022-06-20,1065.7231660714951
2022-06-22,1062.8964258692263
2022-06-23,1037.1760809429093
2022-06-24,1054.742410453708
2022-06-28,1055.821419701824
2022-06-29,1052.114050110688
2022-06-30,1040.8946308223872
2022-07-01,1052.3944427509184
2022-07-04,1052.666964380352
2022-07-05,1058.096551739776
2022-07-06,1057.222527898666
2022-07-07,1081.9297941576663
2022-07-08,1083.253528987075
2022-07-11,1069.3057287099684
2022-07-12,1072.5612243700762
2022-07-13,1084.3994187946228
2022-07-14,1086.7303897186105
2022-07-15,1075.089333789373
2022-07-18,1071.1333204120606
2022-07-19,1090.2560532885275
2022-07-20,1086.4093549145898
2022-07-21,1104.3617249369477
2022-07-22,1110.6222757926855
2022-07-25,1118.8345134069696
2022-07-26,1108.2551558510818
2022-07-27,1120.152347661405
2022-07-28,1120.7193741117337
2022-07-29,1119.9309121177605
2022-08-01,1116.480681487399
2022-08-02,1117.493231325553
2022-08-03,1106.0231217771432
2022-08-04,1096.6048053889813
2022-08-05,1102.254739031282
2022-08-08,1115.8710184979439
2022-08-09,1113.2332231949363
2022-08-10,1125.1154776115482
2022-08-11,1135.601982123552
2022-08-12,1156.5905743357046
2022-08-16,1149.7696511676454
2022-08-17,1155.3148973886045
2022-08-18,1134.756204076396
2022-08-19,1118.665834443215
2022-08-22,1135.1741930851667
2022-08-23,1147.3104295374699
2022-08-24,1159.5993165317457
2022-08-25,1168.6589050211269
2022-08-26,1168.1825644119488
2022-08-29,1173.1936240900786
2022-08-30,1174.6084265786205
2022-08-31,1155.287684260868
2022-09-01,1144.0819384800488
2022-09-02,1194.091284180895
2022-09-05,1222.7143672705115
2022-09-06,1189.2765529696867
2022-09-07,1178.5204750931944
2022-09-08,1181.223367192313
2022-09-09,1205.966094258639
2022-09-12,1194.0172026142486
2022-09-13,1193.1851366446651
2022-09-14,1206.669260230163
2022-09-15,1179.236488304034
2022-09-20,1145.5800111340614
2022-09-21,1154.5333387159642
2022-09-22,1132.1561532511753
2022-09-23,1108.1539051979928
2022-09-26,1105.1120884528234
2022-09-27,1107.086790723851
2022-09-28,1086.1990517414547
2022-09-29,1069.8922936737072
2022-09-30,1088.4067895935102
2022-10-03,1085.2730835249774
2022-10-04,1111.9608628062263
2022-10-05,1096.5477043487472
2022-10-06,1094.6260680323546
2022-10-07,1069.7645118270877
2022-10-11,1052.2605494538432
2022-10-12,1034.2965787406208
2022-10-13,1042.4755566794486
2022-10-14,1040.6128902843625
2022-10-17,1073.3450599310268
2022-10-18,1075.716152463749
2022-10-19,1074.5805937359692
2022-10-20,1079.056496043515
2022-10-21,1087.0034141525944
2022-10-24,1077.4277935128607
2022-10-25,1093.836249215821
2022-10-26,1092.0809426645505
2022-10-27,1098.4100700339964
2022-10-28,1095.0972579652855
2022-11-02,1091.4582107414442
2022-11-03,1093.4995195103816
2022-11-04,1100.7748888520648
2022-11-07,1114.8192349985213
2022-11-08,1146.2352156421157
2022-11-09,1132.179711115361
2022-11-10,1131.928173191744
2022-11-11,1138.9074872213832
2022-11-14,1122.8602230667366
2022-11-15,1102.8412668618325
2022-11-16,1100.1450775226651
2022-11-17,1078.635550794828
2022-11-18,1084.9752944077527
2022-11-21,1121.1918851107127
2022-11-22,1114.4812477004828
2022-11-23,1106.2345070569656
2022-11-24,1109.9250369044912
2022-11-25,1095.4082465464696
2022-11-28,1083.4325950312086
2022-11-29,1096.1655437270729
2022-11-30,1110.062821383692
2022-12-01,1102.4766482775206
2022-12-02,1107.2472646621331
2022-12-05,1101.191059294471
2022-12-06,1085.1391490321218
2022-12-07,1078.83453580549
2022-12-09,1076.2467209881677
2022-12-12,1078.7429466749636
2022-12-13,1072.2489759413058
2022-12-14,1063.6703987555811
2022-12-15,1040.4345928863163
2022-12-16,1047.1349465129633
2022-12-19,1055.7736778738208
2022-12-20,1072.849025111403
2022-12-21,1065.7560492461378
2022-12-22,1051.4326281073363
2022-12-23,1059.9849930498679
2022-12-26,1052.488021561856
2022-12-27,1041.8187873538322
2022-12-28,1044.6129627493015
2022-12-29,1052.5737030412797
2022-12-30,1056.1525820888291
2023-01-03,1028.2658990524997
2023-01-04,1021.6054719045276
2023-01-05,1028.5501110081752
2023-01-06,1031.2347261624932
2023-01-09,1039.452594979903
2023-01-10,1035.533657149675
2023-01-11,1046.867765698659
2023-01-12,1050.661353024918
2023-01-13,1040.6074019498756
2023-01-16,1042.831246621221
2023-01-17,1049.099085411731
2023-01-18,1059.1465406602165
2023-01-19,1050.7648297870994
2023-01-20,1060.4786789630757
2023-01-23,1079.2900112370683
2023-01-24,1068.5860070481217
2023-01-25,1068.6856253158999
2023-01-26,1084.1944631668964
2023-01-27,1089.5691506915398
2023-01-30,1089.6969858358073
2023-01-31,1087.593310572774
2023-02-01,1081.1491729325028
2023-02-02,1082.7675102121614
2023-02-03,1084.4575081658313
2023-02-06,1077.6143085916494
2023-02-07,1070.999034556909
2023-02-08,1083.3916006944128
2023-02-09,1086.7311995833415
2023-02-10,1091.6419753502855
2023-02-13,1087.5669440994789
2023-02-14,1080.4937100308919
2023-02-15,1094.428649152705
2023-02-16,1104.044757140964
2023-02-17,1068.421056480504
2023-02-20,1070.774311444712
2023-02-21,1054.3185087213324
2023-02-22,1052.0822127056713
2023-02-23,1067.103403051456
2023-02-24,1070.8689898448001
2023-02-27,1082.3708527008835
2023-02-28,1088.0122627302192
2023-03-01,1079.8032425678264
2023-03-02,1081.3528157943815
2023-03-03,1093.5314107801228
2023-03-06,1085.276108844706
2023-03-07,1075.9847808403479
2023-03-08,1078.841785021221
2023-03-09,1072.4512099884528
2023-03-10,1066.9243781157577
2023-03-13,1057.241126322203
2023-03-14,1052.094693694121
2023-03-15,1029.074246864319
2023-03-16,1031.7416277611771
2023-03-17,1021.9226468452121
2023-03-20,1024.1686445372104
2023-03-21,1051.0509594549394
2023-03-22,1043.9548254970045
2023-03-23,1043.9314248870096
2023-03-24,1038.3157371166487
2023-03-27,1040.615074294448
2023-03-28,1038.9717855033714
2023-03-29,1051.823642503676
2023-03-30,1047.0484228831456
2023-03-31,1048.074363522294
2023-04-03,1044.8205550153293
2023-04-04,1026.7965601189285
2023-04-05,1027.090739021784
2023-04-06,1033.6537476250062
2023-04-10,1035.5934635116
2023-04-11,1042.607608381597
2023-04-12,1053.2311224323128
2023-04-13,1052.644421256407
2023-04-14,1066.741661449114
2023-04-17,1081.0098642158052
2023-04-18,1081.1642264160491
2023-04-19,1067.2565177559154
2023-04-20,1057.721417844028
2023-04-21,1011.0908723936034
2023-04-24,1025.3166466902192
2023-04-25,1025.2056573695393
2023-04-26,1024.368236856483
2023-04-27,1039.7025226719597
2023-04-28,1041.4697270804777
2023-05-02,1030.6792307530163
2023-05-03,1030.2046576059704
2023-05-04,1027.3347504716453
2023-05-05,1044.0498290762348
2023-05-08,1062.9048030906338
2023-05-09,1054.0039947940024
2023-05-10,1058.6923072884895
2023-05-11,1069.0699930215412
2023-05-12,1068.2815019604116
2023-05-15,1061.9183561976602
2023-05-16,1068.5580603464311
2023-05-17,1065.041337282966
2023-05-18,1071.4711017211275
2023-05-19,1072.443525759356
2023-05-22,1055.8303657160288
2023-05-23,1054.966910188795
2023-05-24,1047.7550295407818
2023-05-25,1039.7835654899056
2023-05-26,1037.430267747997
2023-05-29,1038.1859681399842
2023-05-30,1036.5240178585852
2023-05-31,1011.4537902200633
2023-06-01,1022.0860351817412
2023-06-02,1047.3602588136673
2023-06-05,1048.83588676233
2023-06-06,1058.9358999115975
2023-06-07,1054.0390791293821
2023-06-08,1053.9430876295035
2023-06-09,1056.2825514712663
2023-06-12,1059.0217964717917
